x (m)		I/Io		mu_T
0.95		0.34446		0.676344
0.952		0.34377		1.384
0.954		0.34305		0.544638
0.956		0.34239		4.01866
0.958		0.34197		0.652324
0.96		0.34133		1.82446
0.962		0.34065		0.767297
0.964		0.33994		1.53405
0.966		0.33941		0.462861
0.968		0.33893		3.32504
0.97		0.33819		1.02936
0.972		0.33734		3.04436
0.974		0.33688		0.586201
0.976		0.33624		1.02936
0.978		0.33565		0.874983
0.98		0.33507		1.53405
0.982		0.33424		3.32504
0.984		0.33372		0.767297
0.986		0.33308		0.960539
0.988		0.33254		0.499027
0.99		0.33213		0.544638
0.992		0.33157		5.54624
0.994		0.3308		0.652324
0.996		0.3302		0.960539
0.998		0.3295		0.767297
1		0.329		2.22659
1.002		0.32838		2.39473
1.004		0.32782		0.733291
1.006		0.32729		3.64621
1.008		0.3268		0.767297
1.01		0.32623		0.767297
1.012		0.32577		0.663929
1.014		0.32511		0.749754
1.016		0.32462		0.767297
1.018		0.32404		0.652324
1.02		0.32352		0.557053
1.022		0.32291		1.384
1.024		0.3224		1.62123
1.026		0.32187		0.49066
1.028		0.32127		2.22659
1.03		0.32077		1.31868
1.032		0.32013		0.767297
1.034		0.31953		0.611571
1.036		0.31899		0.78619
1.038		0.31843		2.22659
1.04		0.31784		3.04436
1.042		0.31729		0.874983
1.044		0.31669		1.1554
1.046		0.31615		0.483103
1.048		0.31559		0.960539
1.05		0.31502		0.578374
1.052		0.31453		0.652324
1.054		0.314		5.54624
1.056		0.31343		6.24525
1.058		0.3129		0.993465
1.06		0.31246		0.5387
1.062		0.31199		6.24525
1.064		0.31139		0.767297
1.066		0.31077		0.850423
1.068		0.31019		0.621017
1.07		0.30966		0.5638
1.072		0.30911		4.45049
1.074		0.30846		1.62123
1.076		0.30809		6.24525
1.078		0.3076		1.02936
1.08		0.30707		0.451526
1.082		0.30657		0.874983
1.084		0.30605		0.652324
1.086		0.30559		1.53405
1.088		0.30507		0.594298
1.09		0.30454		5.54624
1.092		0.30412		0.850423
1.094		0.30353		0.454225
1.096		0.30305		1.06795
1.098		0.30257		0.571087
1.1		0.30195		0.602664
1.102		0.30149		0.533033
1.104		0.30091		0.749754
1.106		0.30038		0.767297
1.108		0.29993		2.07707
1.11		0.29951		0.486882
1.112		0.29902		1.31868
1.114		0.29852		0.78619
1.116		0.29795		0.5387
1.118		0.29735		0.78619
1.12		0.29683		4.01866
1.122		0.29624		1.25958
1.124		0.2958		0.850423
1.126		0.29534		0.571087
1.128		0.29487		0.78619
1.13		0.29429		1.31868
1.132		0.29368		1.94375
1.134		0.29322		0.850423
1.136		0.29269		2.39473
1.138		0.29216		2.22659
1.14		0.29179		3.04436
1.142		0.29135		0.5638
1.144		0.29083		0.527635
1.146		0.29019		0.767297
1.148		0.28969		0.993465
1.15		0.2892		1.25958
1.152		0.28866		0.767297
1.154		0.288		0.652324
1.156		0.28763		0.652324
1.158		0.28717		1.384
1.16		0.28664		0.494708
1.162		0.28623		6.24525
1.164		0.28575		0.5638
1.166		0.28532		1.1554
1.168		0.28484		1.25958
1.17		0.2843		0.676344
1.172		0.28377		1.45525
1.174		0.28338		2.79876
1.176		0.28275		3.04436
1.178		0.28235		6.24525
1.18		0.28181		0.767297
1.182		0.28146		0.930041
1.184		0.28102		4.01866
1.186		0.28061		0.578374
1.188		0.28007		0.557053
1.19		0.27959		1.10979
1.192		0.2791		0.652324
1.194		0.27859		0.689299
1.196		0.27815		1.06795
1.198		0.27765		2.79876
1.2		0.27718		1.82446
1.202		0.27676		0.960539
1.204		0.27631		0.689299
1.206		0.27578		0.717638
1.208		0.27533		0.494708
1.21		0.27483		0.767297
1.212		0.27431		1.384
1.214		0.2739		3.04436
1.216		0.27348		3.04436
1.218		0.27297		1.82446
1.22		0.27251		1.20533
1.222		0.27206		0.874983
1.224		0.27161		0.767297
1.226		0.27125		3.04436
1.228		0.27081		0.930041
